alpha,beta,utility_func_name,vcg_price_per_credit,shapley_samples,exact_shapley_threshold,core_check_threshold,n_farmers_analyzed,random_seed,shapley_calculation_method,shapley_values_gini,core_check_performed,is_shapley_in_core,blocking_coalitions_count,vcg_num_winners,vcg_total_surplus,vcg_total_payments,vcg_payments_gini,vcg_individual_rationality_met,vcg_budget_balance,vcg_efficiency_metric,avg_shapley_utility,computation_time_sec
0.7,0.6000000000000001,logarithmic,1900.0,1000,10,15,7,24004,exact,0.14256854256854262,True,True,0,2,967.0,8180.0,0.1821515892420538,True,409.0,967.0,21.325786766357716,8.815632820129395
0.7,0.6000000000000001,logarithmic,2200.0,1000,10,15,7,24004,exact,0.14256854256854262,True,True,0,3,2588.0,17574.0,0.1639163916391639,True,4242.0,2588.0,21.325786766357716,8.752726554870605
0.7,0.6000000000000001,logarithmic,2500.0,1000,10,15,7,24004,exact,0.14256854256854262,True,True,0,3,4406.0,17574.0,0.1639163916391639,True,2424.000000000002,4406.0,21.325786766357716,8.723640441894531
0.7,0.8,linear,1000.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,2520271992.857143,8.772400617599487
0.7,0.8,linear,1300.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,2520271992.857143,8.744621515274048
0.7,0.8,linear,1600.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,1,0.0,5022.0,0.0,True,558.0,0.0,2520271992.857143,8.724279880523682
0.7,0.8,linear,1900.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,2,967.0,8180.0,0.1821515892420538,True,409.0,967.0,2520271992.857143,8.711413383483887
0.7,0.8,linear,2200.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,2588.0,17574.0,0.1639163916391639,True,4242.0,2588.0,2520271992.857143,8.65592885017395
0.7,0.8,linear,2500.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,4406.0,17574.0,0.1639163916391639,True,2424.000000000002,4406.0,2520271992.857143,8.698747158050537
0.7,0.8,logarithmic,1000.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,21.6134668747377,8.656176328659058
0.7,0.8,logarithmic,1300.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,21.6134668747377,8.781065225601196
0.7,0.8,logarithmic,1600.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,1,0.0,5022.0,0.0,True,558.0,0.0,21.6134668747377,9.187011003494263
0.7,0.8,logarithmic,1900.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,2,967.0,8180.0,0.1821515892420538,True,409.0,967.0,21.6134668747377,9.19024920463562
0.7,0.8,logarithmic,2200.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,2588.0,17574.0,0.1639163916391639,True,4242.0,2588.0,21.6134668747377,9.230083465576172
0.7,0.8,logarithmic,2500.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,4406.0,17574.0,0.1639163916391639,True,2424.000000000002,4406.0,21.6134668747377,9.374095678329468
0.7,1.0,linear,1000.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,3150336278.571429,9.268692255020142
0.7,1.0,linear,1300.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,3150336278.571429,9.226074695587158
0.7,1.0,linear,1600.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,1,0.0,5022.0,0.0,True,558.0,0.0,3150336278.571429,9.303797245025635
0.7,1.0,linear,1900.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,2,967.0,8180.0,0.1821515892420538,True,409.0,967.0,3150336278.571429,9.500205755233765
0.7,1.0,linear,2200.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,2588.0,17574.0,0.1639163916391639,True,4242.0,2588.0,3150336278.571429,9.301454067230225
0.7,1.0,linear,2500.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,4406.0,17574.0,0.1639163916391639,True,2424.000000000002,4406.0,3150336278.571429,9.313881158828735
0.7,1.0,logarithmic,1000.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,21.83660924760698,9.299031257629395
0.7,1.0,logarithmic,1300.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,21.83660924760698,9.18941617012024
0.7,1.0,logarithmic,1600.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,1,0.0,5022.0,0.0,True,558.0,0.0,21.83660924760698,9.165143966674805
0.7,1.0,logarithmic,1900.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,2,967.0,8180.0,0.1821515892420538,True,409.0,967.0,21.83660924760698,9.30854845046997
0.7,1.0,logarithmic,2200.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,2588.0,17574.0,0.1639163916391639,True,4242.0,2588.0,21.83660924760698,9.22832441329956
0.7,1.0,logarithmic,2500.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,4406.0,17574.0,0.1639163916391639,True,2424.000000000002,4406.0,21.83660924760698,9.299939155578613
0.9,0.2,linear,1000.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,630083378.5714285,9.350794792175293
0.9,0.2,linear,1300.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,0,0.0,0.0,0.0,True,0.0,0.0,630083378.5714285,9.178264617919922
0.9,0.2,linear,1600.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,1,0.0,5022.0,0.0,True,558.0,0.0,630083378.5714285,9.346856117248535
0.9,0.2,linear,1900.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,2,967.0,8180.0,0.1821515892420538,True,409.0,967.0,630083378.5714285,9.389122724533081
0.9,0.2,linear,2200.0,1000,10,15,7,24004,exact,0.14256854256854257,True,True,0,3,2588.0,17574.0,0.1639163916391639,True,4242.0,2588.0,630083378.5714285,9.302044153213501
